as_of,country_iso3,market,external_debt,macro,climate,composite
2000-01-31,PAK,,,,88.35,
2000-02-29,PAK,,,,88.35,
2000-03-31,PAK,,,,88.35,
2000-04-30,PAK,,,,88.35,
2000-05-31,PAK,,,,88.35,
2000-06-30,PAK,,,,88.35,
2000-07-31,PAK,,,,88.35,
2000-08-31,PAK,,,,88.35,
2000-09-30,PAK,,,,88.35,
2000-10-31,PAK,,,,88.35,
2000-11-30,PAK,,,,88.35,
2000-12-31,PAK,,,,88.35,
2001-01-31,PAK,,,,87.35,
2001-02-28,PAK,,,,87.35,
2001-03-31,PAK,,,,87.35,
2001-04-30,PAK,,,,87.35,
2001-05-31,PAK,,,,87.35,
2001-06-30,PAK,,,,87.35,
2001-07-31,PAK,,28.95,44.65,87.35,53.65
2001-08-31,PAK,,28.95,44.65,87.35,53.65
2001-09-30,PAK,,28.95,44.65,87.35,53.65
2001-10-31,PAK,,28.95,44.65,87.35,53.65
2001-11-30,PAK,,28.95,44.65,87.35,53.65
2001-12-31,PAK,,28.95,44.65,87.35,53.65
2002-01-31,PAK,,28.95,44.65,86.32,53.31
2002-02-28,PAK,,28.95,44.65,86.32,53.31
2002-03-31,PAK,,28.95,44.65,86.32,53.31
2002-04-30,PAK,,28.95,44.65,86.32,53.31
2002-05-31,PAK,,28.95,44.65,86.32,53.31
2002-06-30,PAK,,28.95,44.65,86.32,53.31
2002-07-31,PAK,,29.63,40.92,86.32,52.29
2002-08-31,PAK,,29.63,40.92,86.32,52.29
2002-09-30,PAK,,29.63,40.92,86.32,52.29
2002-10-31,PAK,,29.63,40.92,86.32,52.29
2002-11-30,PAK,,29.63,40.92,86.32,52.29
2002-12-31,PAK,,29.63,40.92,86.32,52.29
2003-01-31,PAK,,29.63,40.92,85.04,51.86
2003-02-28,PAK,,29.63,40.92,85.04,51.86
2003-03-31,PAK,,29.63,40.92,85.04,51.86
2003-04-30,PAK,6.78,29.63,40.92,85.04,40.59
2003-05-31,PAK,6.78,29.63,40.92,85.04,40.59
2003-06-30,PAK,6.78,29.63,40.92,85.04,40.59
2003-07-31,PAK,6.78,26.78,36.48,85.04,38.77
2003-08-31,PAK,6.78,26.78,36.48,85.04,38.77
2003-09-30,PAK,6.78,26.78,36.48,85.04,38.77
2003-10-31,PAK,6.78,26.78,36.48,85.04,38.77
2003-11-30,PAK,6.78,26.78,36.48,85.04,38.77
2003-12-31,PAK,5.94,26.78,36.48,85.04,38.56
2004-01-31,PAK,4.62,26.78,36.48,85.14,38.25
2004-02-29,PAK,4.83,26.78,36.48,85.14,38.31
2004-03-31,PAK,4.94,26.78,36.48,85.14,38.34
2004-04-30,PAK,5.38,26.78,36.48,85.14,38.44
2004-05-31,PAK,5.55,26.78,36.48,85.14,38.49
2004-06-30,PAK,5.81,26.78,36.48,85.14,38.55
2004-07-31,PAK,6.18,20.89,31.83,85.14,36.01
2004-08-31,PAK,6.48,20.89,31.83,85.14,36.08
2004-09-30,PAK,6.79,20.89,31.83,85.14,36.16
2004-10-31,PAK,8.33,20.89,31.83,85.14,36.55
2004-11-30,PAK,7.15,20.89,31.83,85.14,36.25
2004-12-31,PAK,7.05,20.89,31.83,85.14,36.23
2005-01-31,PAK,7.38,20.89,31.83,84.7,36.2
2005-02-28,PAK,7.26,20.89,31.83,84.7,36.17
2005-03-31,PAK,7.24,20.89,31.83,84.7,36.16
2005-04-30,PAK,7.37,20.89,31.83,84.7,36.2
2005-05-31,PAK,7.28,20.89,31.83,84.7,36.17
2005-06-30,PAK,6.8,20.89,31.83,84.7,36.05
2005-07-31,PAK,6.48,31.22,38.17,84.7,40.14
2005-08-31,PAK,6.19,31.22,38.17,84.7,40.07
2005-09-30,PAK,5.85,31.22,38.17,84.7,39.98
2005-10-31,PAK,4.31,31.22,38.17,84.7,39.6
2005-11-30,PAK,5.48,31.22,38.17,84.7,39.89
2005-12-31,PAK,5.96,31.22,38.17,84.7,40.01
2006-01-31,PAK,5.86,31.22,38.17,81.76,39.25
2006-02-28,PAK,5.83,31.22,38.17,81.76,39.25
2006-03-31,PAK,6.06,31.22,38.17,81.76,39.3
2006-04-30,PAK,5.91,31.22,38.17,81.76,39.26
2006-05-31,PAK,5.84,31.22,38.17,81.76,39.25
2006-06-30,PAK,5.84,31.22,38.17,81.76,39.25
2006-07-31,PAK,5.96,15.59,42.51,81.76,36.45
2006-08-31,PAK,6.03,15.59,42.51,81.76,36.47
2006-09-30,PAK,6.11,15.59,42.51,81.76,36.49
2006-10-31,PAK,5.86,15.59,42.51,81.76,36.43
2006-11-30,PAK,6.14,15.59,42.51,81.76,36.5
2006-12-31,PAK,6.27,15.59,42.51,81.76,36.53
2007-01-31,PAK,6.08,15.59,42.51,81.1,36.32
2007-02-28,PAK,6.09,15.59,42.51,81.1,36.32
2007-03-31,PAK,6.18,15.59,42.51,81.1,36.34
2007-04-30,PAK,5.52,15.59,42.51,81.1,36.18
2007-05-31,PAK,5.58,15.59,42.51,81.1,36.19
2007-06-30,PAK,5.7,15.59,42.51,81.1,36.23
2007-07-31,PAK,5.66,16.46,44.07,81.1,36.82
2007-08-31,PAK,5.88,16.46,44.07,81.1,36.88
2007-09-30,PAK,5.68,16.46,44.07,81.1,36.83
2007-10-31,PAK,5.84,16.46,44.07,81.1,36.87
2007-11-30,PAK,5.76,16.46,44.07,81.1,36.85
2007-12-31,PAK,5.91,16.46,44.07,81.1,36.89
2008-01-31,PAK,7.01,16.46,44.07,80.22,36.94
2008-02-29,PAK,6.88,16.46,44.07,80.22,36.91
2008-03-31,PAK,7.0,16.46,44.07,80.22,36.94
2008-04-30,PAK,8.91,16.46,44.07,80.22,37.42
2008-05-31,PAK,10.33,16.46,44.07,80.22,37.77
2008-06-30,PAK,11.42,16.46,44.07,80.22,38.04
2008-07-31,PAK,14.57,16.4,45.19,80.22,39.09
2008-08-31,PAK,18.02,16.4,45.19,80.22,39.96
2008-09-30,PAK,19.68,16.4,45.19,80.22,40.37
2008-10-31,PAK,22.61,16.4,45.19,80.22,41.1
2008-11-30,PAK,19.54,16.4,45.19,80.22,40.34
2008-12-31,PAK,19.62,16.4,45.19,80.22,40.36
2009-01-31,PAK,18.42,16.4,45.19,79.98,40.0
2009-02-28,PAK,19.04,16.4,45.19,79.98,40.15
2009-03-31,PAK,19.28,16.4,45.19,79.98,40.21
2009-04-30,PAK,17.31,16.4,45.19,79.98,39.72
2009-05-31,PAK,16.07,16.4,45.19,79.98,39.41
2009-06-30,PAK,15.22,16.4,45.19,79.98,39.2
2009-07-31,PAK,13.29,15.59,62.59,79.98,42.86
2009-08-31,PAK,9.91,15.59,62.59,79.98,42.02
2009-09-30,PAK,8.69,15.59,62.59,79.98,41.71
2009-10-31,PAK,6.61,15.59,62.59,79.98,41.19
2009-11-30,PAK,8.58,15.59,62.59,79.98,41.69
2009-12-31,PAK,8.74,15.59,62.59,79.98,41.73
2010-01-31,PAK,8.47,15.59,62.59,81.97,42.15
2010-02-28,PAK,8.86,15.59,62.59,81.97,42.25
2010-03-31,PAK,7.53,15.59,62.59,81.97,41.92
2010-04-30,PAK,7.94,15.59,62.59,81.97,42.02
2010-05-31,PAK,8.35,15.59,62.59,81.97,42.12
2010-06-30,PAK,8.08,15.59,62.59,81.97,42.06
2010-07-31,PAK,7.19,21.68,50.3,81.97,40.28
2010-08-31,PAK,6.34,21.68,50.3,81.97,40.07
2010-09-30,PAK,7.45,21.68,50.3,81.97,40.35
2010-10-31,PAK,7.01,21.68,50.3,81.97,40.24
2010-11-30,PAK,7.06,21.68,50.3,81.97,40.25
2010-12-31,PAK,6.71,21.68,50.3,81.97,40.16
2011-01-31,PAK,6.28,21.68,50.3,80.49,39.69
2011-02-28,PAK,5.91,21.68,50.3,80.49,39.59
2011-03-31,PAK,5.98,21.68,50.3,80.49,39.61
2011-04-30,PAK,55.73,21.68,50.3,80.49,52.05
2011-05-31,PAK,54.75,21.68,50.3,80.49,51.81
2011-06-30,PAK,55.72,21.68,50.3,80.49,52.05
2011-07-31,PAK,6.43,20.75,50.6,80.49,39.57
2011-08-31,PAK,7.08,20.75,50.6,80.49,39.73
2011-09-30,PAK,4.84,20.75,50.6,80.49,39.17
2011-10-31,PAK,6.31,20.75,50.6,80.49,39.54
2011-11-30,PAK,6.43,20.75,50.6,80.49,39.57
2011-12-31,PAK,8.01,20.75,50.6,80.49,39.96
2012-01-31,PAK,7.87,20.75,50.6,80.2,39.85
2012-02-29,PAK,8.78,20.75,50.6,80.2,40.08
2012-03-31,PAK,9.46,20.75,50.6,80.2,40.25
2012-04-30,PAK,8.58,20.75,50.6,80.2,40.03
2012-05-31,PAK,10.32,20.75,50.6,80.2,40.47
2012-06-30,PAK,9.73,20.75,50.6,80.2,40.32
2012-07-31,PAK,9.57,16.11,49.34,80.2,38.81
2012-08-31,PAK,9.89,16.11,49.34,80.2,38.89
2012-09-30,PAK,10.7,16.11,49.34,80.2,39.09
2012-10-31,PAK,10.1,16.11,49.34,80.2,38.94
2012-11-30,PAK,11.11,16.11,49.34,80.2,39.19
