iso3,country,fx_available,fx_stale,fx_level,fx_date,fx_change_1w_pct,fx_change_ytd_pct,reserves_year,reserves_months_imports
LKA,Sri Lanka,True,False,335.11,2026-07-09,2.66,9.19,2024,2.9
BGD,Bangladesh,True,False,123.1,2026-07-09,1.18,1.86,2025,3.9
MDV,Maldives,True,False,15.42,2026-07-09,1.05,1.05,2024,1.3
NPL,Nepal,True,False,152.4085,2026-07-09,0.9,6.82,2024,13.0
UZB,Uzbekistan,True,False,12007.21,2026-07-09,0.9,0.2,2024,10.3
LAO,Laos,True,False,22453.0,2026-07-09,0.69,4.82,2024,2.4
KAZ,Kazakhstan,True,False,465.98,2026-07-09,0.37,-7.7,2025,7.4
IND,India,True,False,95.378,2026-07-09,-0.04,6.02,2025,7.9
PAK,Pakistan,True,False,277.78,2026-07-09,-0.08,-0.39,2025,3.8
KGZ,Kyrgyz Republic,True,True,87.425,2025-09-05,,,2024,3.9
TJK,Tajikistan,True,False,9.2736,2026-07-09,,0.0,2025,5.7
MNG,Mongolia,True,False,3583.8799,2026-07-09,,0.0,2024,3.3
